Cluster,Lead Investors Include,Country
2,Peak XV Partners,India
0,IVP,United States
2,Alpha Wave Global,India
1,Multiple Lead Investors,United Kingdom
0,Eicher Motors Limited,Spain
0,Eldridge Industries,Canada
0,Multiple Lead Investors,Estonia
0,Krafton,South Korea
0,Uber,United States
2,Nekkanti Sea Foods,India
0,Lightspeed Venture Partners,United States
1,Sofina,United Kingdom
0,Tencent,South Korea
0,Andreessen Horowitz,United States
0,Multiple Lead Investors,United States
0,IVP,Hungary
1,M&G Investments,United Kingdom
2,Multiple Lead Investors,India
0,The Raine Group,United States
0,Forrestal Capital,United States
0,Susquehanna Growth Equity,United States
0,Visa,United States
0,Advent International,United States
0,Innovation Endeavors,United States
0,General Atlantic,Israel
1,General Catalyst,United Kingdom
0,Fin Capital,United States
0,Georgian,Canada
1,Multiple Lead Investors,United Kingdom
0,Tiger Global Management,Singapore
0,Coatue,United States
3,SoftBank Vision Fund,United States
0,One Peak,Israel
0,Warburg Pincus,United States
0,TCV,Germany
0,Sequoia Capital,Switzerland
0,Brookfield Growth,United States
0,SignalFire,United States
2,Surge,India
0,Multiple Lead Investors,Isle of Man
0,ICONIQ Growth,United States
0,PSG Equity,Israel
0,Bell Ventures,United States
0,Insight Partners,United States
0,Durable Capital Partners,United States
0,Tiger Global Management,Israel
0,Translink Capital,United States
0,Boubyan Petrochemical Company,Kuwait
0,Porsche Ventures,Switzerland
0,Multiple Lead Investors,Brazil
0,Salem Investment Partners,United States
0,Paradigm,United States
0,Multiple Lead Investors,Israel
4,BPEA EQT,China
4,Multiple Lead Investors,China
0,Multiple Lead Investors,United States
4,Source Code Capital,China
0,DFJ Growth,United States
0,GGV Capital,United States
0,GSV Ventures,United States
0,Multiple Lead Investors,Nigeria
0,Multiple Lead Investors,Germany
0,Abu Dhabi Investment Office (ADIO),United States
0,WestCap,United States
2,Multiple Lead Investors,India
0,GGV Capital,United States
0,Polychain,United States
0,Multiple Lead Investors,United States
0,ICONIQ Growth,United States
2,A91 Partners,India
4,Multiple Lead Investors,China
0,NEAR Protocol,Singapore
0,Accel,United States
0,Greenoaks,France
0,Explorer 1 Fund,United States
0,Multiple Lead Investors,United States
0,Multiple Lead Investors,United States
0,Penske Media Corporation,United States
0,Multiple Lead Investors,Bahrain
