Cluster,Organisation,Main Industry,Main Reason
5,Faraday Future,Automotive and Transportation,Bankrupt
0,Farfetch,E-Commerce and Retail,IPO
4,Figma,Software & Technology,Bankrupt
4,FireEye,Software & Technology,Bankrupt
4,FiscalNote,Software & Technology,Bankrupt
2,Five Star Business Finance,Finance and FinTech,Bankrupt
2,Flatiron Health,Healthcare & BioTechnology,Bankrupt
1,Flipkart,E-Commerce and Retail,Acquired
2,Fluence,Energy and CleanTech,Bankrupt
0,Flywire,Finance and FinTech,IPO
4,ForeScout Technologies,Software & Technology,Bankrupt
0,Freshworks,Software & Technology,IPO
2,Funding Circle,Finance and FinTech,Bankrupt
0,Futu Holdings,Finance and FinTech,IPO
2,GeneDx,Healthcare & BioTechnology,Bankrupt
5,Getaround,Automotive and Transportation,Bankrupt
1,Gilt Groupe,E-Commerce and Retail,Acquired
2,Ginger,Healthcare & BioTechnology,Bankrupt
0,Ginkgo Bioworks,Healthcare & BioTechnology,Merger
4,GitHub,Software & Technology,Bankrupt
0,GitLab,Software & Technology,IPO
4,Glassdoor,Software & Technology,Bankrupt
0,Global Fashion Group,E-Commerce and Retail,IPO
1,Glovo,Food and Beverage,Acquired
1,Good Software & Technology,Software & Technology,Acquired
2,GoodRx,Healthcare & BioTechnology,Bankrupt
0,GoPro,Software & Technology,IPO
2,Gorillas,E-Commerce and Retail,Bankrupt
5,GoTo Group,Automotive and Transportation,Bankrupt
0,Grab,Food and Beverage,Merger
2,Grail,Healthcare & BioTechnology,Bankrupt
2,GreenSky,Finance and FinTech,Bankrupt
0,Groupon,E-Commerce and Retail,IPO
2,Grove Collaborative,E-Commerce and Retail,Bankrupt
4,HashiCorp,Software & Technology,Bankrupt
4,Health Catalyst,Software & Technology,Bankrupt
2,HelloFresh,Food and Beverage,Bankrupt
2,Hims & Hers,Healthcare & BioTechnology,Bankrupt
2,Hippo Insurance,Finance and FinTech,Bankrupt
2,Home24,E-Commerce and Retail,Bankrupt
1,HomeAway,Real Estate and Property Management,Acquired
2,Hulu,Media and Entertainment,Bankrupt
2,Huya.com,Media and Entertainment,Bankrupt
2,Infor,Education and EdTech,Bankrupt
2,Inke,Media and Entertainment,Bankrupt
0,Innovent Biologics,Healthcare & BioTechnology,IPO
4,Innovium,Software & Technology,Bankrupt
4,InsideSales,Software & Technology,Bankrupt
2,Instacart,E-Commerce and Retail,Bankrupt
2,Intarcia Therapeutics,Healthcare & BioTechnology,Bankrupt
4,Intellifusion,Software & Technology,Bankrupt
2,iQiyi,Media and Entertainment,Bankrupt
0,ironSource,Software & Technology,Merger
1,ITutorGroup,Education and EdTech,Acquired
1,Jasper Technologies,Software & Technology,Acquired
2,JD Health,E-Commerce and Retail,Bankrupt
2,JD Logistics,E-Commerce and Retail,Bankrupt
2,JD.com,E-Commerce and Retail,Bankrupt
1,Jet,E-Commerce and Retail,Acquired
5,JetSmarter,Automotive and Transportation,Bankrupt
0,JFrog,Software & Technology,IPO
5,Joby Aviation,Automotive and Transportation,Bankrupt
2,Jumia Group,E-Commerce and Retail,Bankrupt
2,JW Therapeutics,Healthcare & BioTechnology,Bankrupt
1,Kabam,Software & Technology,Acquired
2,Kabbage,Finance and FinTech,Bankrupt
2,Kakaobank,Finance and FinTech,Bankrupt
3,Ke.com,Real Estate and Property Management,Bankrupt
2,Kelun Biotech,Healthcare & BioTechnology,Bankrupt
1,Kik,Software & Technology,Acquired
0,Kingsoft Cloud,Software & Technology,IPO
2,Klaviyo,E-Commerce and Retail,Bankrupt
3,Knotel,Real Estate and Property Management,Bankrupt
4,KnowBe4,Software & Technology,Bankrupt
0,Krafton,Media and Entertainment,IPO
0,Kuaishou Software & Technology,Media and Entertainment,IPO
0,Lakala,Finance and FinTech,IPO
