Cluster,Lead Investors Include,Country
3,SoftBank Vision Fund,United States
3,Insight Partners,United States
3,"Cobalt Capital, Dragoneer Investment Group",United States
0,NatWest Group,Poland
3,Microsoft Climate Innovation Fund,United States
0,CTC Capital,China
0,Tiger Global Management,Germany
0,"Inno-Chip, Longzhu Capital",China
3,SoftBank Vision Fund,United States
3,Fidelity,United States
3,"8VC, Mubadala Capital Ventures",United States
0,Highland Europe,United Kingdom
0,"SPIC, BYD Company ",China
0,Greylock,United Kingdom
0,Booking Holdings,Brazil
3,"Declaration Partners, Kinnevik",United States
3,OpenAI,United States
3,"Ribbit Capital, SVB Capital",United States
3,Lux Capital,United States
0,Bain Capital Tech Opportunities,Canada
3,Fubon Financial Holdings,United States
3,Stripes,United States
3,Andreessen Horowitz,United States
3,Bessemer Venture Partners,United States
0,"GGV Capital, Tiger Global Management",China
3,ICONIQ Growth,United States
3,Eight Roads Ventures,United States
0,Mubadala,Nigeria
3,"China Life Healthcare Fund, Yuemintou Asset Management",United States
1,Vy Capital,India
0,MUFG Bank,Japan
0,Arm Holdings,United Kingdom
0,"Crescera Investimentos (f/k/a Bozano Investimentos), Vulcan Capital",Brazil
0,10T Holdings,Canada
1,Swiss Re,India
3,Samsung Electronics,United States
0,Evolution Financial,Japan
3,The General Partnership,United States
3,GIC,United States
1,Peak XV Partners,India
3,IVP,United States
1,Alpha Wave Global,India
0,"Emerson Collective, Minden",United Kingdom
0,Eicher Motors Limited,Spain
0,Eldridge Industries,Canada
0,"Baselayer Capital, Faculty Capital",Estonia
5,Krafton,South Korea
3,Uber,United States
1,Nekkanti Sea Foods,India
3,Lightspeed Venture Partners,United States
0,Sofina,United Kingdom
5,Tencent,South Korea
3,Andreessen Horowitz,United States
3,"Galaxy Interactive, Agnitio Capital",United States
0,IVP,Hungary
0,M&G Investments,United Kingdom
1,"Tiger Global Management, Vitruvian Partners",India
3,The Raine Group,United States
3,Forrestal Capital,United States
3,Susquehanna Growth Equity,United States
3,Visa,United States
3,Advent International,United States
3,Innovation Endeavors,United States
0,General Atlantic,Israel
0,General Catalyst,United Kingdom
3,Fin Capital,United States
0,Georgian,Canada
0,"Dawn Capital, Goldman Sachs",United Kingdom
0,Tiger Global Management,Singapore
3,Coatue,United States
3,SoftBank Vision Fund,United States
0,One Peak,Israel
3,Warburg Pincus,United States
6,TCV,Germany
0,Sequoia Capital,Switzerland
3,Brookfield Growth,United States
3,SignalFire,United States
1,Surge,India
0,"Grok Ventures, IPGL",Isle of Man
3,ICONIQ Growth,United States
0,PSG Equity,Israel
3,Bell Ventures,United States
3,Insight Partners,United States
3,Durable Capital Partners,United States
0,Tiger Global Management,Israel
3,Translink Capital,United States
0,Boubyan Petrochemical Company,Kuwait
0,Porsche Ventures,Switzerland
0,"Bezos Expeditions, Ribbit Capital",Brazil
3,Salem Investment Partners,United States
3,Paradigm,United States
0,"CRV, Highland Europe",Israel
0,BPEA EQT,China
0,"5Y Capital, Meituan",China
3,"Elad Gil, Electric Capital",United States
0,Source Code Capital,China
3,DFJ Growth,United States
3,GGV Capital,United States
3,GSV Ventures,United States
0,"Target Global, Valar Ventures",Nigeria
6,"Bregal Milestone, Level Equity Management",Germany
3,Abu Dhabi Investment Office (ADIO),United States
3,WestCap,United States
1,"Rocketship.vc, Vulcan Capital",India
3,GGV Capital,United States
3,Polychain,United States
3,"Polychain, Qiming Venture Partners",United States
3,ICONIQ Growth,United States
1,A91 Partners,India
0,"Gary Hromadko, Founder Collective",China
0,NEAR Protocol,Singapore
3,Accel,United States
0,Greenoaks,France
3,Explorer 1 Fund,United States
3,"Andreessen Horowitz, Richmond Global Ventures",United States
3,"Counterpoint Global, Liberty Media",United States
3,Penske Media Corporation,United States
0,"Kleiner Perkins, Paradigm",Bahrain
