Cluster,Company,Lead Investors Include,Country
2,Industrious,"Fifth Wall, Riverwood Capital",United States
0,Bespin Global,e&,South Korea
2,DNAnexus,Blackstone Accelerates Growth,United States
2,Pocket Gems,Tencent,United States
2,WSO2,Redstart Labs,United States
2,GoFundMe,"Accel, TCV",United States
2,Whatfix,SoftBank Vision Fund,United States
1,Classplus,"Alpha Wave Ventures, Tiger Global Management",India
0,Pitch,"Lakestar, Tiger Global Management",Germany
2,Brightwheel,Addition,United States
2,Airbase,American Express Ventures,United States
1,Zupee,"Tomales Bay Capital, WestCap",India
0,Jianke,ShenZhen GTJA Investment Group,China
2,Found,WestCap,United States
1,Progcap,Beams FinTech Fund,India
2,Bungalow,Deer Park Road,United States
0,MatchMove Pay,KFC Ventures,Singapore
0,Kaishu Jianggushi,Trustbridge Partners,China
0,Peilian.com,Tiger Global Management,China
2,Modular,General Catalyst,United States
0,Mirxes,China Fellow Partners,Singapore
1,InsuranceDekho,"Beams FinTech Fund, Eurazeo",India
0,SkyCell,Catalyst,Switzerland
1,Shadowfax,Flipkart,India
0,Meltwater,Verdane,Norway
2,Valon Technologies,Andreessen Horowitz,United States
0,SoftBank Robotics Holdings,"Alibaba Group, Foxconn Technology Group",Japan
0,KOHO Financial,Eldridge Industries,Canada
0,Brandi,Korea Development Bank,South Korea
2,Platform Science,SoftBank Vision Fund,United States
2,Shogun,Insight Partners,United States
2,Tonal,"Cobalt Capital, Dragoneer Investment Group",United States
0,Vodeno,NatWest Group,Poland
2,AMP Robotics,Microsoft Climate Innovation Fund,United States
0,AISpeech,CTC Capital,China
0,Moss,Tiger Global Management,Germany
0,Axera,"Inno-Chip, Longzhu Capital",China
2,Digits,SoftBank Vision Fund,United States
2,Inscripta,Fidelity,United States
2,Alloy Therapeutics,"8VC, Mubadala Capital Ventures",United States
3,Nothing,Highland Europe,United Kingdom
0,Jiangsu KATOP Automation,"SPIC, BYD Company ",China
3,Entrepreneur First,Greylock,United Kingdom
0,Hotel Urbano,Booking Holdings,Brazil
2,Sure,"Declaration Partners, Kinnevik",United States
2,Descript,OpenAI,United States
2,Vouch,"Ribbit Capital, SVB Capital",United States
2,Tendo,Lux Capital,United States
0,Ataccama,Bain Capital Tech Opportunities,Canada
2,Nanotech Energy,Fubon Financial Holdings,United States
2,Replicant,Stripes,United States
2,UnitedMasters,Andreessen Horowitz,United States
2,Databook,Bessemer Venture Partners,United States
0,Hutouju,"GGV Capital, Tiger Global Management",China
2,Pontera,ICONIQ Growth,United States
2,Prosper Marketplace,Eight Roads Ventures,United States
0,Moove,Mubadala,Nigeria
2,MicroPort Orthopedics,"China Life Healthcare Fund, Yuemintou Asset Management",United States
1,Inshorts,Vy Capital,India
0,Animoca Brands KK,MUFG Bank,Japan
3,Raspberry Pi Foundation,Arm Holdings,United Kingdom
0,Nelogica,"Crescera Investimentos (f/k/a Bozano Investimentos), Vulcan Capital",Brazil
0,Ledn,10T Holdings,Canada
1,Paytm Insurance,Swiss Re,India
2,DigiLens,Samsung Electronics,United States
0,GVE,Evolution Financial,Japan
2,Promise,The General Partnership,United States
2,Parafin,GIC,United States
1,Bounce,Peak XV Partners,India
2,Perplexity AI,IVP,United States
